id,title_romaji,title_english,title_native,episodes,score,popularity,genres,status,studio,season,start_year,url
139630,Boku no Hero Academia 6,My Hero Academia Season 6,僕のヒーローアカデミア６,25.0,82.0,218214,"Action, Adventure",FINISHED,bones,FALL,2022.0,https://anilist.co/anime/139630
889,BLACK LAGOON,Black Lagoon,BLACK LAGOON,12.0,78.0,217859,"Action, Adventure, Drama, Thriller",FINISHED,MADHOUSE,SPRING,2006.0,https://anilist.co/anime/889
20596,Ao Haru Ride,Blue Spring Ride,アオハライド,12.0,75.0,217739,"Drama, Romance, Slice of Life",FINISHED,Production I.G,SUMMER,2014.0,https://anilist.co/anime/20596
10793,Guilty Crown,Guilty Crown,ギルティクラウン,22.0,69.0,217647,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",FINISHED,Production I.G,FALL,2011.0,https://anilist.co/anime/10793
20807,Prison School,Prison School,監獄学園〈プリズンスクール〉,12.0,73.0,217587,"Comedy, Ecchi",FINISHED,J.C.STAFF,SUMMER,2015.0,https://anilist.co/anime/20807
15583,Date A Live,Date A Live,デート・ア・ライブ,12.0,68.0,217088,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",FINISHED,AIC Plus+,SPRING,2013.0,https://anilist.co/anime/15583
21679,Bungou Stray Dogs 2nd Season,Bungo Stray Dogs 2,文豪ストレイドッグス 第2シーズン,12.0,81.0,216782,"Action, Comedy, Mystery, Supernatural",FINISHED,bones,FALL,2016.0,https://anilist.co/anime/21679
101474,Overlord III,Overlord III,オーバーロードⅢ,13.0,77.0,216596,"Action, Adventure, Fantasy",FINISHED,MADHOUSE,SUMMER,2018.0,https://anilist.co/anime/101474
101167,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,ダンジョンに出会いを求めるのは間違っているだろうかⅡ,12.0,71.0,216105,"Action, Adventure, Comedy, Fantasy, Romance",FINISHED,J.C.STAFF,SUMMER,2019.0,https://anilist.co/anime/101167
10165,Nichijou,Nichijou - My Ordinary Life,日常,26.0,83.0,215721,"Comedy, Slice of Life",FINISHED,Kyoto Animation,SPRING,2011.0,https://anilist.co/anime/10165
339,serial experiments lain,Serial Experiments Lain,serial experiments lain,13.0,80.0,215621,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",FINISHED,Triangle Staff,SUMMER,1998.0,https://anilist.co/anime/339
108463,Jibaku Shounen Hanako-kun,Toilet-bound Hanako-kun,地縛少年 花子くん,12.0,77.0,215001,"Action, Comedy, Drama, Mystery, Supernatural",FINISHED,Lerche,WINTER,2020.0,https://anilist.co/anime/108463
130003,Bocchi the Rock!,BOCCHI THE ROCK!,ぼっち・ざ・ろっく！,12.0,87.0,214700,"Comedy, Music, Slice of Life",FINISHED,CloverWorks,FALL,2022.0,https://anilist.co/anime/130003
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,25.0,79.0,213650,"Comedy, Drama, Romance, Slice of Life",FINISHED,Production I.G,FALL,2009.0,https://anilist.co/anime/6045
124153,SK∞,SK8 the Infinity,SK∞ エスケーエイト,12.0,79.0,213633,"Action, Drama, Sports",FINISHED,bones,WINTER,2021.0,https://anilist.co/anime/124153
17265,Log Horizon,Log Horizon,ログ・ホライズン,25.0,76.0,213213,"Action, Adventure, Fantasy",FINISHED,Satelight,FALL,2013.0,https://anilist.co/anime/17265
111321,Tate no Yuusha no Nariagari Season 2,The Rising of the Shield Hero Season 2,盾の勇者の成り上がり Season 2,13.0,65.0,213130,"Action, Adventure, Fantasy",FINISHED,Kinema Citrus,SPRING,2022.0,https://anilist.co/anime/111321
102976,Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,この素晴らしい世界に祝福を！紅伝説,1.0,82.0,213089,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",FINISHED,J.C.STAFF,SUMMER,2019.0,https://anilist.co/anime/102976
116267,Tonikaku Kawaii,TONIKAWA: Over The Moon For You,トニカクカワイイ,12.0,77.0,212389,"Comedy, Romance, Slice of Life",FINISHED,Seven Arcs,FALL,2020.0,https://anilist.co/anime/116267
145545,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite Season 2,ようこそ実力至上主義の教室へ 2nd Season,13.0,79.0,212061,"Drama, Mystery, Psychological",FINISHED,Lerche,SUMMER,2022.0,https://anilist.co/anime/145545
21092,Rakudai Kishi no Cavalry,Chivalry of a Failed Knight,落第騎士の英雄譚（キャバルリィ）,12.0,71.0,211699,"Action, Ecchi, Fantasy, Romance",FINISHED,SILVER LINK.,FALL,2015.0,https://anilist.co/anime/21092
21709,Yuuri!!! on ICE,Yuri!!! on ICE,ユーリ!!! on ICE,12.0,77.0,211203,"Comedy, Drama, Sports",FINISHED,MAPPA,FALL,2016.0,https://anilist.co/anime/21709
21647,orange,Orange,orange,13.0,74.0,211024,"Drama, Romance, Supernatural",FINISHED,Telecom Animation Film,SUMMER,2016.0,https://anilist.co/anime/21647
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,Danganronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生 The Animation,13.0,68.0,210641,"Horror, Mystery, Psychological, Sci-Fi, Thriller",FINISHED,Lerche,SUMMER,2013.0,https://anilist.co/anime/16592
