id,title_romaji,title_english,title_native,format,episodes,duration,source,country,isAdult,score,meanScore,popularity,favourites,trending,genres,tags,status,studio,season,start_year,url
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,TV,25.0,24.0,MANGA,JP,False,85.0,85.0,912565,55010,13,"Action, Drama, Fantasy, Mystery","Kaiju, Revenge, Tragedy, Military, Post-Apocalyptic, Primarily Teen Cast, Super Power, Male Protagonist, Henshin, Gore, Swordplay, Memory Manipulation, Steampunk, Dystopian, Vore, Ensemble Cast, Orphan, Espionage, Cannibalism, Kuudere, Shounen, Coming of Age, Suicide, Survival, Medieval, Time Skip, Amnesia, Rural, CGI, Primarily Male Cast, Adoption",FINISHED,WIT STUDIO,SPRING,2013,https://anilist.co/anime/16498
101922,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,TV,26.0,24.0,MANGA,JP,False,82.0,82.0,866659,41838,17,"Action, Adventure, Drama, Fantasy, Supernatural","Demons, Shounen, Swordplay, Male Protagonist, Vampire, Tragedy, Primarily Teen Cast, Travel, Monster Girl, Revenge, Orphan, CGI, Gore, Primarily Male Cast, Mythology, Rural, Slapstick, Historical, Super Power, Rotoscoping, Body Horror, Curses, Chibi, Time Skip, Snowscape, Animals, Food",FINISHED,ufotable,SPRING,2019,https://anilist.co/anime/101922
1535,DEATH NOTE,Death Note,DEATH NOTE,TV,37.0,23.0,MANGA,JP,False,84.0,84.0,830712,43666,12,"Mystery, Psychological, Supernatural, Thriller","Crime, Detective, Anti-Hero, Male Protagonist, Police, Fugitive, Philosophy, Primarily Adult Cast, Kuudere, Gods, Memory Manipulation, Urban Fantasy, Primarily Male Cast, Urban, Unrequited Love, Amnesia, Yandere, Espionage, Shounen, Suicide, Tragedy, Acting, Tennis, Time Skip, Assassins, Achronological Order, Asexual",FINISHED,MADHOUSE,FALL,2006,https://anilist.co/anime/1535
113415,Jujutsu Kaisen,JUJUTSU KAISEN,呪術廻戦,TV,24.0,24.0,MANGA,JP,False,84.0,84.0,820501,48820,13,"Action, Drama, Supernatural","Urban Fantasy, Shounen, Youkai, Super Power, Curses, Male Protagonist, Primarily Teen Cast, Exorcism, Dissociative Identities, Demons, Orphan, Urban, Body Horror, Magic, Martial Arts, Primarily Male Cast, Ensemble Cast, Shapeshifting, Gore, School, Swordplay, Anthropomorphism, Rotoscoping, Slapstick, Mythology, Surreal Comedy, Twins, Boarding School, Baseball",FINISHED,MAPPA,FALL,2020,https://anilist.co/anime/113415
21459,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,TV,13.0,24.0,MANGA,JP,False,76.0,76.0,769627,20532,7,"Action, Adventure, Comedy","Super Power, Superhero, Shounen, Primarily Teen Cast, Male Protagonist, Urban Fantasy, School, Ensemble Cast, Coming of Age, Bullying, Cultivation, Primarily Male Cast, Prison",FINISHED,bones,SPRING,2016,https://anilist.co/anime/21459
11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),TV,148.0,24.0,MANGA,JP,False,89.0,89.0,734970,69578,20,"Action, Adventure, Fantasy","Shounen, Super Power, Male Protagonist, Tragedy, Martial Arts, Ensemble Cast, Travel, Philosophy, Primarily Male Cast, Revenge, Chimera, Primarily Teen Cast, Crime, Virtual World, Anthropomorphism, Assassins, Urban Fantasy, Environmental, Coming of Age, Mafia, Anti-Hero, Card Battle, Gangs, Body Horror, Transgender, Animals, Politics, Shogi, Video Games, Board Game, Yandere",FINISHED,MADHOUSE,FALL,2011,https://anilist.co/anime/11061
21087,One Punch Man,One-Punch Man,ワンパンマン,TV,12.0,24.0,MANGA,JP,False,83.0,83.0,682430,24795,10,"Action, Comedy, Sci-Fi, Supernatural","Superhero, Super Power, Parody, Male Protagonist, Satire, Urban Fantasy, Surreal Comedy, Urban, Cyborg, Primarily Adult Cast, Kaiju, Seinen, Aliens, Cultivation, Primarily Male Cast, Gods, Martial Arts, Demons, Henshin",FINISHED,MADHOUSE,FALL,2015,https://anilist.co/anime/21087
20605,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,TV,12.0,24.0,MANGA,JP,False,75.0,75.0,651412,17943,5,"Action, Drama, Horror, Mystery, Psychological, Supernatural","Gore, Urban Fantasy, Tragedy, Survival, Body Horror, Torture, Male Protagonist, Seinen, Anti-Hero, Coming of Age, Cannibalism, Urban, Police, Detective, Crime, Henshin, Primarily Adult Cast, Mythology, College, Heterosexual, Military",FINISHED,Studio Pierrot,SUMMER,2014,https://anilist.co/anime/20605
20958,Shingeki no Kyojin Season 2,Attack on Titan Season 2,進撃の巨人 Season２,TV,12.0,25.0,MANGA,JP,False,84.0,84.0,644272,14257,5,"Action, Drama, Fantasy, Mystery","Survival, Post-Apocalyptic, Shapeshifting, Tragedy, Espionage, Military, Kaiju, Dystopian, Primarily Teen Cast, Gore, Revenge, Politics, Henshin, Anti-Hero, Ensemble Cast, Super Power, Shounen, Male Protagonist, Incest, Cult, Kuudere, Dissociative Identities, Coming of Age, Steampunk, Cannibalism, Primarily Male Cast, CGI, Swordplay, Primarily Adult Cast, Unrequited Love, Matriarchy, Rural, Medieval",FINISHED,WIT STUDIO,SPRING,2017,https://anilist.co/anime/20958
21,ONE PIECE,ONE PIECE,ONE PIECE,TV,null,24.0,MANGA,JP,False,88.0,88.0,635733,88996,84,"Action, Adventure, Comedy, Drama, Fantasy","Pirates, Travel, Shounen, Ensemble Cast, Super Power, Found Family, Male Protagonist, Ships, Conspiracy, Slapstick, Tragedy, Time Skip, Politics, War, Slavery, Dystopian, Fugitive, Crime, Gods, Philosophy, Swordplay, Lost Civilization, Monster Boy, Henshin, Prison, Anthropomorphism, Food, Shapeshifting, Cyborg, Robots, Primarily Adult Cast, Medicine, Samurai, Animals, Guns, Desert, Skeleton, Anti-Hero, Anachronism, Asexual, Espionage, Dragons, Monster Girl, Marriage, Artificial Intelligence, Demons, Post-Apocalyptic, Drugs, Fairy, Kuudere, Assassins, Battle Royale, Revenge, Aromantic, Ninja, Adoption, Nudity, Mermaid, Gender Bending, Time Manipulation, Clone, Musical Theater, Arranged Marriage, Zombie, Angels, Trains, CGI, Unrequited Love, Kabuki",RELEASING,Toei Animation,FALL,1999,https://anilist.co/anime/21
